Soft Skills
Example
Access management software
Citrix cloud computing software
Redgate SQL Server
IBM SPSS Statistics
Infobright Community Edition ICE
Minitab
Safe Software FME
SAS
StataCorp Stata
Test data generator software
The MathWorks MATLAB
Docker
GitHub
Oracle Application Server
Oracle WebLogic Server
Red Hat OpenShift
Red Hat WildFly
Spring Boot
Acronis Recovery Expert
BMC Software Recovery Manager RMAN
Data Recovery Software SQL Server Data Recovery
Database cloning software
EMC NetWorker
HP DataProtector
IBM ADSTAR
Oracle Data Guard
Oracle Recovery Manager
Storage management software
Systems and data disaster recovery software
Veritas NetBackup
IBM Cognos Impromptu
Micosoft SQL Server Analysis Services SSAS
Microsoft Power BI
MicroStrategy
Oracle Business Intelligence Enterprise Edition
Qlik Tech QlikView
Tableau
Google Drive
Microsoft SharePoint
Amazon Web Services AWS CloudFormation
IBM WebSphere
Jitterbit
Splunk Enterprise
SolarWinds
Cluster server software
Oracle Real Application Cluster RAC
VMware
IBM Domino
Autodesk Revit
Chef
Deployment software
Perforce Helix software
Puppet
Red Hat Ansible Engine
Atlassian JIRA
Blackbaud The Raiser's Edge
Oracle Eloqua
Salesforce software
ADO.NET
Amazon DynamoDB
Amazon Kinesis
Apache Cassandra
Apache Flume
Apache Hadoop
Apache HBase
Apache Oozie
Apache Pig
Apache Solr
Apache Sqoop
BMC Software Change Manager
CA IDMS
Catalog navigation software
Concurrency control software
Couchbase Server
Data definition language DDL
Data manipulation language DML
Data transformation services DTS software
Database design software
Database management systems
Elasticsearch
Embarcadero Technologies DBArtisan
Greenplum Database
IBM Interactive System Productivity Facility ISPF
Index tuning software
Informatica Big Data
MapR Converged Data Platform
MariaDB
MongoDB
Multidimensional Expressions MDX
MySQL
NoSQL
Oracle Enterprise Manager
Oracle Enterprise Manager Cloud Control
Oracle Golden Gate
Oracle Migration Workbench
Oracle PL/SQL
Quest Central
Quest SharePlex
Relational database management software
Relational database management system software
SAP Adaptive Server Enterprise
SAP Replication Server
SentryOne SQL Sentry
Talend Big Data Integration
Teradata Database
ASG Technologies ASG-Zeke
Microsoft SQL Server Reporting Services SSRS
Oracle Reports
Oracle SQL Loader
Oracle SQL Plus
ReCrystallize Crystal Reports
SAP Crystal Reports
Amazon Elastic Compute Cloud EC2
Amazon Redshift
Amazon Web Services AWS software
Apache Hive
Blackboard software
Cloudera Impala
FileMaker Pro
IBM DB2
Microsoft Access
Microsoft SQL Server
Oracle Database
Oracle JDBC
Structured query language SQL
Teradata Active Enterprise Data Warehouse
Transact-SQL
Google Analytics
IBM InfoSphere Warehouse
